[2023-01-25 15:48:41] - [DEBUG] starting point: 0 | end point: 8706 | fps: 30 | frame: 8706 | cnt: 0
[2023-01-25 15:48:41] - [DEBUG] cnt: 0 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:41] - [DEBUG] cnt: 30 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:41] - [DEBUG] cnt: 60 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:41] - [DEBUG] cnt: 90 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:41] - [DEBUG] cnt: 120 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:42] - [DEBUG] cnt: 150 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:42] - [DEBUG] cnt: 180 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:42] - [DEBUG] cnt: 210 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:42] - [DEBUG] cnt: 240 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:42] - [DEBUG] cnt: 270 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:42] - [DEBUG] cnt: 300 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:42] - [DEBUG] cnt: 330 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:43] - [DEBUG] cnt: 360 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:43] - [DEBUG] cnt: 390 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:43] - [DEBUG] cnt: 420 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:43] - [DEBUG] cnt: 450 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:43] - [DEBUG] cnt: 480 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:43] - [DEBUG] cnt: 510 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:43] - [DEBUG] cnt: 540 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:44] - [DEBUG] cnt: 570 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:44] - [DEBUG] cnt: 600 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:44] - [DEBUG] cnt: 630 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:44] - [DEBUG] cnt: 660 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:44] - [DEBUG] cnt: 690 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:44] - [DEBUG] cnt: 720 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:44] - [DEBUG] cnt: 750 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:44] - [DEBUG] cnt: 780 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
